Id,Label,patent_title,link,data,assignee,abstract
,"6,475,759",Low PH lactic acid fermentation,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=44&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 5, 2002",,
,"6,495,631","Impact modified melt-stable lactide polymer compositions and processes for
     manufacture thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=43&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"December 17, 2002",,
,"6,534,679","Lactic acid processing; methods; arrangements; and, products",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=42&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"March 18, 2003",,
,"6,613,363","Biodegradable chewing gum bases including plasticized poly(D,L-lactic acid)
     and copolymers thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=41&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"September 2, 2003",,
,"6,875,839",Method for producing polylactic acid and corresponding device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=40&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"April 5, 2005",,
,"7,144,977","Lactic acid processing; methods; arrangements; and, products",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=39&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"December 5, 2006",,
,"7,300,787","Lactobacillus strains and use thereof in fermentation for L-lactic acid
     production",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=38&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 27, 2007",,
,"7,326,659",Biodegradable netting,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=37&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"February 5, 2008",,
,"7,723,461",Polymeric materials from renewable resources,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=36&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 25, 2010",,
,"7,771,493",Process for crystallising amorphous plastic granulates,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=35&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 10, 2010",,
,"7,914,881",PLA film with good sliding and antistatic properties,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=34&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"March 29, 2011",,
,"7,943,566",Dryer sheet and methods for manufacturing and using a dryer sheet,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=33&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 17, 2011",,
,"7,947,644",Dryer sheet and methods for manufacturing and using a dryer sheet,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=32&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 24, 2011",,
,"7,980,024",Photobioreactor systems positioned on bodies of water,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=31&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 19, 2011",,
,"8,101,271",PLA film comprising good antistatic properties,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=30&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"January 24, 2012",,
,"8,110,395","Photobioreactor systems and methods for treating CO.sub.2-enriched gas and
     producing biomass",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=29&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"February 7, 2012",,
,"8,231,978",Simultaneously drawn opaque film made of PLA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=28&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 31, 2012",,
,"8,383,835",Process for the production of cyclic diesters of alpha-hydroxyacids,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=27&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"February 26, 2013",,
,"8,431,678","Method for producing cyclic diesters of L-, D- and D,L-lactic acid",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=26&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"April 30, 2013",,
,"8,507,253","Photobioreactor cell culture systems, methods for preconditioning
     photosynthetic organisms, and cultures of photosynthetic organisms
     produced thereby",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=25&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 13, 2013",,
,"8,507,264","Photobioreactor systems and methods for treating CO.sub.2-enriched gas and
     producing biomass",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=24&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 13, 2013",,
,"8,552,209",Recovery of lactic acid values from a meso-lactide stream,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=23&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"October 8, 2013",,
,"8,674,056",Methods for producing lactide with recycle of meso-lactide,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=22&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"March 18, 2014",,
,"8,790,786",Simultaneously drawn opaque film made of PLA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=21&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 29, 2014",,
,"8,859,262",Photobioreactor systems positioned on bodies of water,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=20&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"October 14, 2014",,
,"8,877,488","Photobioreactor systems and methods for treating CO2-enriched gas and
     producing biomass",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=19&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 4, 2014",,
,"9,035,076",Recovery of lactic acid values from a meso-lactide stream,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=18&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 19, 2015",,
,"9,115,467",Methods and systems for solvent purification,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=17&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 25, 2015",,
,"9,309,018",Packaging for UV sterilization,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=16&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"April 12, 2016",,
,"9,334,518",Array for processing materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=15&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 10, 2016",,
,"9,371,550",Processing materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=14&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"June 21, 2016",,
,"9,388,442",Reconfigureable processing enclosures,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=13&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 12, 2016",,
,"9,410,216",Sugar mixtures and methods for production and use thereof,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=12&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 9, 2016",,
,"9,464,334",Array for processing materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=11&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"October 11, 2016",,
,"9,476,106",Methods and systems for processing a sucrose crop and sugar mixtures,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=10&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"October 25, 2016",,
,"9,493,851",Methods for treating lignocellulosic materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=9&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 15, 2016",,
,"9,512,495",Lignocellulose conversion processes and products,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=8&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"December 6, 2016",,
,"9,611,516",Controlling process gases,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=7&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"April 4, 2017",,
,"9,631,246",Methods for treating lignocellulosic materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=6&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"April 25, 2017",,
,"9,650,687",Methods for treating lignocellulosic materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=5&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 16, 2017",,
,"9,663,836","Methods and systems for processing sugar mixtures and resultant
     compositions",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=4&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 30, 2017",,
,"9,708,761",Array for processing materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=3&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 18, 2017",,
,"9,783,861",Methods for treating lignocellulosic materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=2&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"October 10, 2017",,
,"9,816,231",Processing materials,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=1&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 14, 2017",,
,"5,360,892",Water and UV degradable lactic acid polymers,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=598&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=12&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,"November 1, 1994","Arch Development Corporation
 (Chicago, 
IL)","A water and UV light degradable copolymer of monomers of lactic acid and a
     modifying monomer selected from the class consisting of ethylene and
     polyethylene glycols, propylene and polypropylene glycols, P-dioxanone,
     1,5 dioxepan-2-one, 1,4 -oxathialan-2-one, 1,4-dioxide and mixtures
     thereof. These copolymers are useful for waste disposal and agricultural
     purposes. Also disclosed is a water degradable blend of polylactic acid or
     modified polylactic acid and high molecular weight polyethylene oxide
     wherein the high molecular weight polyethylene oxide is present in the
     range of from about 2% by weight to about 50% by weight, suitable for
     films. A method of applying an active material selected from the class of
     seeds, seedlings, pesticides, herbicides, fertilizers and mixtures thereof
     to an agricultural site is also disclosed."
,"5,498,650",Poly(lactic acid) composition having improved physical properties,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=39&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"March 12, 1996",,
,"5,563,238",Water and UV degradable lactic acid polymers,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=38&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"October 8, 1996",,
,"5,635,447",Polyorganic acids and their analogues to enhance herbicide effectiveness,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=37&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"June 3, 1997",,
,"5,646,133",Polyaspartic acid and its analogues in combination with insecticides,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=36&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"July 8, 1997",,
,"5,709,890",Polyaspartic acid and its analogues in combination with insecticides,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=35&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"January 20, 1998",,
,"5,722,303",Mixed-mu superconducting bearings,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=34&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"March 3, 1998",,
,"5,807,566","Composition for controlling pests, process for the preparation thereof
     and use thereof in crop protection",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=33&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"September 15, 1998",,
,"5,945,480","Water-responsive, biodegradable fibers comprising polylactide modified
     polylactide and polyvinyl alcohol, and method for making the fibers",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=32&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"August 31, 1999",,
,"5,952,433","Modified polyactide compositions and a reactive-extrusion process to
     make the same",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=31&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"September 14, 1999",,
,"6,083,524","Polymerizable biodegradable polymers including carbonate or dioxanone
     linkages",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=30&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"July 4, 2000",,
,"6,106,753",Method of forming a biodegradable molded packing,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=29&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"August 22, 2000",,
,"6,153,231",Environmentally friendly chewing gum bases,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=28&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"November 28, 2000",,
,"6,177,095","Polymerizable biodegradable polymers including carbonate or dioxanone
     linkages",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=27&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"January 23, 2001",,
,"6,217,630","Conditioned fertilizer product, method for conditioning fertilizer, and
     method for using conditioned fertilizer product",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=26&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"April 17, 2001",,
,"6,258,382",Drug sustained-released biomaterial,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=25&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"July 10, 2001",,
,"6,350,518","Methods of making blend compositions of an unmodified poly vinyl alcohol
     and a thermoplastic elastomer",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=24&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"February 26, 2002",,
,"6,552,162","Water-responsive, biodegradable compositions and films and articles
     comprising a blend of polylactide and polyvinyl alcohol and methods for
     making the same",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=23&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"April 22, 2003",,
,"6,613,363","Biodegradable chewing gum bases including plasticized poly(D,L-lactic acid)
     and copolymers thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=22&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"September 2, 2003",,
,"6,664,333","Cold-water flushable compositions comprising polylactic acid dispersed in
     polyvinyl alcohol",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=21&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"December 16, 2003",,
,"6,672,001","Method for mulching an agricultural soil bed using a biodegradable protein
     material, and a mulched agricultural crop growing plot produced thereby",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=20&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"January 6, 2004",,
,"6,844,077",High barrier metallized film with mirror-like appearance,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=19&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"January 18, 2005",,
,"7,070,795",Particles containing agricultural active ingredients,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=18&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"July 4, 2006",,
,"RE39,713","Polymerizable biodegradable polymers including carbonate or dioxanone
     linkages",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=17&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"July 3, 2007",,
,"7,445,841","Polylactic acid resin, textile products obtained therefrom, and processes
     for producing textile products",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=16&f=G&l=50&d=PALL&S1=5360892.UREF.&OS=ref/5360892&RS=REF/5360892,"November 4, 2008",,
