Label;Id;patent_title;link;data;assignee;abstract
5,484,604;11;Cross-linked alginate transdermal medicine delivery devices;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=91&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1996;;
5,646,206;12;Films fabricated from mixtures of pectin and poly(vinyl alchohol);http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=90&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1997;;
5,681,568;13;Device for delivery of substances and methods of use thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=89&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1997;;
6,196,993;14;Ophthalmic insert and method for sustained release of medication to the eye;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=88&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2001;;
6,258,350;15;Sustained release ophthalmic formulation;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=87&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2001;;
6,262,115;16;Method for the management of incontinence;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=86&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2001;;
6,391,052;17;Stent with collagen;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=85&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2002;;
6,555,110;18;Microencapsulated compounds and method of preparing same;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=84&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2003;;
6,833,140;19;"Orally administered dosage forms of GABA analog prodrugs having reduced
     toxicity";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=83&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2004;;
6,919,092;20;Method for the management of incontinence;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=82&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2005;;
6,919,373;21;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=81&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2005;;
6,930,129;22;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=80&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2005;;
7,001,615;23;Sustained release ophthalmic, otic and nasal suspension;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=79&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2006;;
7,101,912;24;Carbidopa prodrugs and derivatives, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=78&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2006;;
7,109,239;25;Acyloxyalkyl carbamate prodrugs, methods of synthesis and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=77&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2006;;
7,208,611;26;"Platinum-containing compounds exhibiting cytostatic activity, synthesis
     and methods of use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=76&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2007;;
7,232,924;27;Methods for synthesis of acyloxyalkyl derivatives of GABA analogs;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=75&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2007;;
7,300,956;28;Acyloxyalkyl carbamate prodrugs, methods of synthesis and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=74&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2007;;
7,323,585;29;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=73&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,342,131;30;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=72&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,351,740;31;"Acyloxyalkyl carbamate prodrugs of tranexamic acid, methods of synthesis
     and use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=71&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,420,002;32;"Amino acid conjugates providing for sustained systemic concentrations of
     GABA analogues";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=70&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,423,169;33;Methods for synthesis of acyloxyalkyl derivatives of GABA analogs;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=69&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,425,543;34;Microencapsulated materials and method of making same;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=68&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2008;;
7,494,985;35;Acyloxyalkyl carbamate prodrugs, methods of synthesis, and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=67&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,534,813;36;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=66&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,563,821;37;Levodopa prodrug mesylate, compositions thereof, and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=65&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,566,738;38;"Acyloxyalkyl carbamate prodrugs of sulfinic acids, methods of synthesis,
     and use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=64&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,572,830;39;Acyloxyalkyl carbamate prodrugs, methods of synthesis and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=63&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,585,996;40;Acyloxyalkyl carbamate prodrugs, methods of synthesis and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=62&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,592,369;41;"Acyloxyalkyl carbamate prodrugs of tranexamic acid, methods of synthesis
     and use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=61&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2009;;
7,645,797;42;"Amino acid conjugates providing for sustained systemic concentrations of
     GABA analogues";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=60&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,671,089;43;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=59&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,700,652;44;Treating urinary incontinence using prodrugs of GABA analogs;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=58&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,709,527;45;"Levodopa dimethyl-substituted diester prodrugs compositions, and methods
     of use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=57&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,749,985;46;Acyloxyalkyl carbamate prodrugs, methods of synthesis and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=56&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,777,070;47;"Acyloxyalkyl carbamate prodrugs of tranexamic acid, methods of synthesis
     and use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=55&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,829,592;48;"Catechol protected levodopa diester prodrugs, compositions, and methods of
     use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=54&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2010;;
7,893,105;49;Levodopa prodrug mesylate, compositions thereof, and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=53&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
7,935,686;50;Acyloxyalkyl carbamate prodrugs, methods of synthesis, and use;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=52&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
7,956,212;51;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=51&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
7,968,597;52;Levodopa prodrug mesylate, compositions thereof, and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=50&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
7,976,520;53;Eye wall anchored fixtures;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=49&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
8,084,059;54;Antidepressant dosage form;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=48&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2011;;
8,105,652;55;"Methods of making decomposable thin films of polyelectrolytes and uses
     thereof";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=47&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,114,909;56;"Treating or preventing restless legs syndrome using prodrugs of GABA
     analogs";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=46&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,163,798;57;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=45&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,163,958;58;Levodopa prodrugs, and compositions and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=44&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,167,855;59;Ocular drug delivery device;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=43&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,193,242;60;Levodopa prodrug mesylate, compositions thereof, and uses thereof;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=42&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,287,504;61;Ocular drug delivery device;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=41&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,298,576;62;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=40&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,298,580;63;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=39&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,324,272;64;"Levodopa dimethyl-substituted diester prodrugs, compositions, and methods
     of use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=38&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,324,273;65;"Catechol protected levodopa diester prodrugs, compositions, and methods of
     use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=37&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2012;;
8,372,881;66;"Acyloxyalkyl carbamate prodrugs of tranexamic acid, methods of synthesis
     and use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=36&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2013;;
8,399,513;67;Levodopa prodrug mesylate hydrate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=35&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2013;;
8,435,562;68;"Pharmaceutical compositions and oral dosage forms of a levodopa prodrug
     and methods of use";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=34&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2013;;
8,629,179;69;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=33&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,663,683;70;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=32&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,679,078;71;Ocular drug delivery device;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=31&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,715,712;72;Ocular insert apparatus and methods;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=30&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,722,733;73;Levodopa prodrug mesylate hydrate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=29&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,795,725;74;GABA analog prodrug sustained release oral dosage forms;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=28&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,821,457;75;Punctal plug containing drug formulation;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=27&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,877,248;76;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=26&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,889,191;77;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=25&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,894,602;78;Punctal plugs with directional release;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=24&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,906,412;79;GABA analog prodrug sustained release oral dosage forms;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=23&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2014;;
8,939,948;80;Ocular insert apparatus and methods;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=22&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
8,992,989;81;Sustained-release formulations of topiramate;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=21&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
9,000,038;82;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=20&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
9,029,416;83;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=19&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
9,102,105;84;Method for forming an ocular drug delivery device;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=18&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
9,144,549;85;Methods and devices for providing prolonged drug therapy;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=17&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;2015;;
